Nom_route,Num_bornea_route,Dist_metre_apres_bornea,Type_recensement,Classe_route,Declinaison_classe_route,Nom_compteur_perm,Num_borneb_route,Dis_metre_apres_borneb,Moy_jour_ann_tous_vehi_2009,Moy_jour_ann_poidsL_2009,Moy_jour_ann_tous_vehi_2010,Moy_jour_ann_poidsL_2010,Mode_comptage,LATITUDE,LONGITUDE
44 D0245,4,0,RECENS_2010,RP2,RM,,4,,,,10790,472,CT_A,47.2787201293,-2.48409477732
44 D0247,2,600,RECENS_2010,RDL2,RDL,,2,,,,1972,103,CT_A,47.3257366352,-2.35878167123
44 D0252,4,0,RECENS_2010,RDL1,RDL,,4,0,,,1828,63,CT_A,47.3643501395,-2.45367075401
44 D0295,1,700,RECENS_2010,RDL2,RDL,,1,,,,1016,43,CT_A,46.9665927068,-1.83107292951
44 D0313,2,200,RECENS_2010,RP2,RM,,2,200,,,3567,187,CT_A,47.1348677919,-2.20922295443
44 D0359,2,0,RECENS_2010,RDL2,RDL,,2,0,,,2773,107,CT_A,47.1585773018,-1.42707561377
44 D0392,3,100,RECENS_2010,RP2,RM,,3,100,,,21374,528,CT_A,47.2760873103,-2.31460454411
44 D0492,1,800,RECENS_2010,RP2,RM,,1,800,,,23683,1007,CT_A,47.2686612763,-2.25182931201
44 D0605,2,700,RECENS_2010,RDL2,RDL,,2,700,,,743,33,CT_A,47.0925185448,-1.92109042612
44 D0637,2,400,RECENS_2010,RDL1,RDL,,2,400,,,2325,205,CT_A,46.8762433182,-1.57402912334
44 D0723,19,700,RECENS_2010,RP2,RM,,19,700,,,8513,559,CT_A,47.1928996245,-1.83960159631
44 D0723,45,800,RECENS_2010,RP1,RM,,45,,,,15278,1277,CT_A,47.2904074007,-1.42849732453
44 D0723,67,0,RECENS_2010,RP1,RM,,67,,,,10073,853,CT_A,47.3701697992,-1.20483348095
44 D0723,85,900,RECENS_2010,RP1,RM,,85,,,,5936,535,CT_A,47.3999749803,-0.97372439219
44 D0751,36,800,RECENS_2010,LS,RM,,36,800,,,10126,736,CT_A,47.1238942247,-1.93309997697
44 D0751A,3,0,RECENS_2010,RPU,RM,,3,0,,,9045,354,CT_A,47.1472616936,-1.64748208056
44 D0753,14,0,RECENS_2010,RP2,RM,,14,0,,,3101,256,CT_A,46.8918177084,-1.59691993378
44 D0753,18,700,RECENS_2010,RP2,RM,,18,700,,,3523,365,CT_A,46.8828061123,-1.65509361801
44 D0756,4,300,RECENS_2010,RDL2,RDL,,4,300,,,2883,208,CT_A,47.1613555316,-1.21309391138
44 D0758,20,200,RECENS_2010,RP2,RM,,20,200,,,3970,362,CT_A,47.0320035896,-1.96337339582
44 D0762,2,0,RECENS_2010,RDL2,RDL,,2,,,,1888,129,CT_A,47.0803016655,-1.18843200453
44 D0771,15,0,RECENS_2010,RP1,RM,,15,,,,5848,586,CT_A,47.6106208893,-1.54631363184
44 D0773,5,500,RECENS_2010,RP2,RM,,5,500,,,6592,678,CT_A,47.5656921102,-2.05032144442
44 D0773,18,0,RECENS_2010,RP2,RM,,18,0,,,9070,533,CT_A,47.4661991086,-2.07073001695
44 D0774,24,500,RECENS_2010,RP2,RM,,24,500,,,14074,766,CT_A,47.3098938084,-2.42983916396
44 D0775,7,200,RECENS_2010,RP2,RM,,7,200,,,2302,205,CT_A,47.6799612115,-1.57425816627
44 D0823,4,100,RECENS_2010,RPU,RM,,4,100,,,9575,951,CT_A,47.1657520561,-1.5813813928
44 D0878,12,500,RECENS_2010,RP2,RM,,12,500,,,1834,147,CT_A,47.5885830475,-1.19706866354
44 D0923,2,800,RECENS_2010,RP2,RM,,2,800,,,3411,283,CT_A,47.4849655744,-1.14987910177
44 D0965,0,300,RECENS_2010,RPU,RM,,0,,,,14566,722,CT_A,47.2530109127,-1.62517218729
44 D0965,3,0,RECENS_2010,RDL1,RDL,,3,0,,,12566,719,CT_A,47.2592673787,-1.65323463743
44 D0971,1,400,RECENS_2010,RDL1,RDL,,1,400,,,8263,792,CT_A,47.3174315922,-2.16475222824
44 D0075,9,605,P,RPU,RM,SAINT HERBLAIN,9,605,,,15490,999,CP,47.2493305739,-1.6338905136
44 D0723,41,675,P,RP1,RM,CARQUEFOU,41,675,,,26321,0,CP,47.2724026503,-1.4744789629
44 D0085,0,940,P,RPU,RM,NANTES AEROPORT,,,,,17019,1515,CP,47.1649328143,-1.59532343521
