Annee,Nom_station_mesure,Agglo_station,az_CodeInsee,LATITUDE,LONGITUDE,Type_station,Moy_ann_microg/m3,Percentile98_ann_microg/m3,Moy_jour_maxi_microg/m3,Moy_hor_maxi_ann_microg/m3,Moy8_hor_maxi_ann_microg/m3,Objectif_qual_microg/m3_maxi_ann_delamoy8h
2015,GASPARD,SAINT-NAZAIRE,44132,47.25314444,-2.331941667,PERIURBAINE,65,107,109,152,142,120
2013,BLUM,SAINT-NAZAIRE,44184,47.26409444,-2.250122222,URBAINE,63,109,106,156,146,120
2013,GASPARD,SAINT-NAZAIRE,44132,47.25314444,-2.331941667,PERIURBAINE,68,112,111,152,147,120
2013,BLUM,SAINT-NAZAIRE,44184,47.26409444,-2.250122222,URBAINE,64,121,116,161,152,120
2013,GASPARD,SAINT-NAZAIRE,44132,47.25314444,-2.331941667,PERIURBAINE,67,124,124,164,154,120
2012,BLUM,SAINT-NAZAIRE,44184,47.26409444,-2.250122222,URBAINE,62,109,127,163,159,120
2012,GASPARD,SAINT-NAZAIRE,44132,47.25314444,-2.331941667,PERIURBAINE,65,113,132,172,166,120
2011,BLUM,SAINT-NAZAIRE,44184,47.26409444,-2.250122222,URBAINE,64,118,112,157,157,120
2011,GASPARD,SAINT-NAZAIRE,44132,47.25314444,-2.331941667,PERIURBAINE,68,119,115,164,153,120
2010,BLUM,SAINT-NAZAIRE,44184,47.26409444,-2.250122222,URBAINE,58,109,100,141,130,120
2010,PORNICHET,SAINT-NAZAIRE,44132,47.25314444,-2.331941667,PERIURBAINE,61,115,109,153,141,120
2009,PORNICHET,SAINT-NAZAIRE,44132,47.25314444,-2.331941667,PERIURBAINE,55,104,101,145,134,120
2009,BLUM,SAINT-NAZAIRE,44184,47.26409444,-2.250122222,URBAINE,61,107,102,154,135,120
2008,BLUM,SAINT-NAZAIRE,44184,47.26409444,-2.250122222,URBAINE,64,112,116,155,148,120
2008,PORNICHET,SAINT-NAZAIRE,44132,47.25314444,-2.331941667,PERIURBAINE,59,108,115,149,146,120
2007,BLUM,SAINT-NAZAIRE,44184,47.26409444,-2.250122222,URBAINE,60,110,105,151,137,120
2007,PORNICHET,SAINT-NAZAIRE,44132,47.25314444,-2.331941667,PERIURBAINE,59,109,104,150,134,120
2006,BLUM,SAINT-NAZAIRE,44184,47.26409444,-2.250122222,URBAINE,62,117,132,187,170,120
2006,PORNICHET,SAINT-NAZAIRE,44132,47.25314444,-2.331941667,PERIURBAINE,60,116,139,208,192,120
2005,BLUM,SAINT-NAZAIRE,44184,47.26409444,-2.250122222,URBAINE,61,118,137,197,180,120
2005,PORNICHET,SAINT-NAZAIRE,44132,47.25314444,-2.331941667,PERIURBAINE,62,119,137,202,190,120
2016,DELACROIX,LA ROCHE SUR YON,85191,46.66069444,-1.436805556,URBAINE,55,104,109,165,159,120
2015,DELACROIX,LA ROCHE SUR YON,85191,46.66069444,-1.436805556,URBAINE,54,103,106,141,130,120
2014,DELACROIX,LA ROCHE SUR YON,85191,46.66069444,-1.436805556,URBAINE,59,111,107,158,147,120
2013,DELACROIX,LA ROCHE SUR YON,85191,46.66069444,-1.436805556,URBAINE,59,122,125,160,149,120
2012,DELACROIX,LA ROCHE SUR YON,85191,46.66069444,-1.436805556,URBAINE,56,107,124,168,161,120
2011,DELACROIX,LA ROCHE SUR YON,85191,46.66069444,-1.436805556,URBAINE,59,117,117,158,144,120
