_id,moy_montee_descente,pollution_moyenne
Angers,820,3.9274469541409993
Saint-Nazaire,359.42857142857144,3.953912845083276
Nantes,1230.3256880733945,3.874287018024184
Mans,709.2408759124088,3.841889117043121
Laval,344.6741573033708,3.7373944786675795
Roche-sur-Yon,264.7945205479452,3.891145595618439
Cholet,298.75,3.9016655258955053
